4480,"skillan26","砲轟","掃射"
4481,"skillname27","犧牲之箭","熾炎箭"
4482,"skillsd27","讓箭矢附加燃燒敵人的力量","箭矢會使敵人燃燒"
4483,"skillld27","在強化的箭矢或十字弓彈
撞擊敵人時創造出火堆
並造成火焰傷害
一定擊中","強化你的箭矢或弩箭，造成大量火焰傷害，並在擊中地點燃起烈火
必定擊中"
4484,"skillan27","犧牲之箭","熾炎箭"
4485,"skillname28","誘餌","替身"
4486,"skillsd28","創造一個你自己的影子","放出一個自己的替身"
4487,"skillld28","你所創造出來的分身
可以吸引敵人攻擊","放出一個自己的替身，引開敵人的攻擊"
4488,"skillan28","誘餌","替身"
4489,"skillname29","迴避","閃避"
4490,"skillsd29","被動-移動時迴避","被動 - 移動時閃避攻擊"
4491,"skillld29","被動-當你在行走或是跑步時
有機會迴避來襲的
近戰攻擊或飛箭","被動 - 你在行走或跑步時，有一定機率閃避近戰或遠程攻擊"
4492,"skillan29","迴避","閃避"
4497,"skillname31","凍結之箭","冰凍箭"
4498,"skillsd31","加強的箭矢可以冰凍多個怪物","箭矢會凍住整群怪物"
4499,"skillld31","魔法般加強的箭矢或是十字弓彈
可以冰凍整群的敵人
一定擊中","以魔法強化你的箭矢或弩箭，凍結整群的怪物
必定擊中"
4500,"skillan31","凍結之箭","冰凍箭"
4502,"skillsd32","召喚一個威力強大的女武神同伴","召喚威力強大的女武神同伴"
4503,"skillld32","召喚一個威力強大的女武神同伴","召喚威力強大的女武神同伴"
4505,"skillname33","穿刺","貫穿攻勢"
4506,"skillsd33","被動-飛射武器可以穿過敵人繼續前進","被動 - 遠程武器可以穿透敵人"
4507,"skillld33","被動-你的飛射武器，有機會
在擊中時穿過敵人繼續飛行","被動 - 你的遠程攻擊有一定機率在擊中時穿透敵人"
4508,"skillan33","穿刺","貫穿攻勢"
4509,"skillname34","閃電攻擊","閃電強擊"
4510,"skillsd34","讓戳刺性的武器帶著一連串的電擊力量","以魔法讓突刺武器攻擊放出連鎖閃電"
4511,"skillld34","在鏢槍或是長矛性的武器
加上閃電傷害並在撞擊時釋放連鎖閃電","在標槍與長矛武器上附加電擊傷害並在擊中時釋放連鎖閃電"
4512,"skillan34","閃電攻擊","閃電強擊"
4513,"skillname35","閃電之怒","閃電烈怒"
4514,"skillsd35","一個閃電球在撞擊時會自動分散","投擲命中時會分裂的閃電"
4515,"skillld35","把投擲性的鏢槍變成一個威力
強大的閃電之球，並在撞擊時自動散開","投出的標槍會化為強大的閃電，並且在擊中時分裂成多道閃電"
4516,"skillan35","閃電之怒","閃電烈怒"
4517,"skillname36","火彈","火焰彈"
4518,"skillsd36","創造出火焰之箭","射出火焰彈"
4519,"skillld36","創造出魔法性的火焰箭","射出魔法火焰彈"
4520,"skillan36","火彈","火焰彈"
4521,"skillname37","暖氣","暖流"
4522,"skillsd37","被動-增加你的法力回復速度","被動 - 提高法力恢復率"
4523,"skillld37","被動-讓你的法力回復速度加快","被動 - 提高你的法力回復速度"
4524,"skillan37","暖氣","暖流"
4525,"skillname38","充能彈","電能彈"
4526,"skillsd38","創造出多重致命火光","散射出多個致命的電能火花"
4527,"skillld38","創造出多重、方向不定的
電擊性能量球","散射出多個方向不定的電能火花"
4528,"skillan38","充能彈","電能彈"
4529,"skillname39","冰彈","寒冰彈"
4530,"skillsd39","創造出一塊冰之碎片，讓敵人遲緩","射出可減慢敵人速度的寒冰彈"
4531,"skillld39","創造出一個魔法性的冰之碎片
讓你的敵人受傷並行動減慢","射出冰冷的魔法彈傷害敵人，並使其緩速"
4532,"skillan39","冰彈","寒冰彈"
4533,"skillname40","冰封裝甲","冰封甲"
4534,"skillsd40","加強你的防禦力，並讓攻擊者冰凍","強化防禦，並且凍結攻擊者"
4535,"skillld40","可以增加你的防禦等級
並讓敵人擊中你時受到冰凍","提高你的防禦，並且凍結擊中你的敵人"
4536,"skillan40","冰封裝甲","冰封甲"
4537,"skillname41","地獄之火","煉獄之火"
4538,"skillsd41","創造出一團噴射的火焰","噴出一團烈焰"
4539,"skillld41","創造出一團噴射性火焰
燒焦你的敵人","噴出一團烈焰灼燒你的敵人"
4540,"skillan41","地獄之火","煉獄之火"
4541,"skillname42","靜態力場","靜電力場"
4542,"skillsd42","創造一個充滿致命火星的力場","造出一個充滿致命靜電火花的力場"
4544,"skillan42","靜態力場","靜電力場"
4546,"skillsd43","利用你的意志移動物品","利用你的心靈力量移動物品"
4547,"skillld43","利用你的意志力量來
拾取物品，使用物品
並擊退敵人","利用你的心靈力量來拾取物品、操作物體，以及擊退敵人"
4549,"skillname44","霜之新星","冰霜新星"
4550,"skillsd44","創造出一個冷凍之環","造出一圈寒冰之環"
4551,"skillld44","創造出一個不斷擴張的冰之環
傷害並減慢所有附近的敵人","造出一個向外擴張的寒冰之環，傷害並減慢附近的所有敵人"
4552,"skillan44","霜之新星","冰霜新星"
4553,"skillname45","冰風暴","寒冰球"
4554,"skillsd45","創造出一個冰彈，把敵人統統冰凍","射出可凍結敵人的魔法冰球"
4555,"skillld45","創造出一個魔法冰球， 
重傷並冰凍你的敵人","射出一團魔法冰球，傷害並凍結你的敵人"
4556,"skillan45","冰風暴","寒冰球"
4558,"skillsd46","創造你的復甦之火","在你的腳下點燃熊熊烈火"
4559,"skillld46","創造出一道火牆
如同你復甦一樣燒烤敵人","在你的腳下點燃熊熊烈火，隨你的足跡而形成灼燒敵人的火牆"
4561,"skillname47","火球","火球術"
4562,"skillsd47","創造出一團爆炸性的火焰球體","發射一團爆炸的火球"
4563,"skillld47","創造出一團爆炸性的致命火焰球體
將敵人吞沒","發射一團爆炸的致命火球，將敵人吞沒"
4564,"skillan47","火球","火球術"
4565,"skillname48","新星","閃電新星"
4566,"skillsd48","創造出一個充滿電擊力量之環","造出一圈電能之環"
4567,"skillld48","造出一個不斷擴張的電能之環
電擊附近的所有敵人","造出一個向外擴張的電能之環，電擊附近的所有敵人"
4568,"skillan48","新星","閃電新星"
4569,"skillname49","閃電","閃電箭"
4570,"skillsd49","創造一個閃電之球","發射一道閃電"
4571,"skillld49","創造一個威力強大的閃電之球
毀掉你的敵人","發射一道威力強大的閃電重創你的敵人"
4572,"skillan49","閃電","閃電箭"
4574,"skillsd50","讓攻擊你的人受傷並冰凍","凍結與傷害攻擊者"
4575,"skillld50","增加你的防禦等級
並且可以讓擊中你的敵人冰凍並受傷","提高你的防禦，並且凍結與傷害擊中你的敵人"
4577,"skillname51","火牆","火牆術"
4578,"skillsd51","創造一道火焰之牆","造出一道火焰之牆"
4579,"skillld51","創造一道火焰之牆
阻檔或是焚燒你的敵人","造出一道火焰之牆焚燒附近的敵人"
4580,"skillan51","火牆","火牆術"
4581,"skillname52","強化","附魔"
4582,"skillsd52","讓你的近戰或是長距離武器附上火焰","為近戰或遠程武器附上火焰"
4583,"skillld52","讓施法目標的人物或是隨從的武器變強
在近戰武器附上火焰傷害
讓長距離武器增加三分之一的火焰傷害","強化指定的角色或是隨從所裝備的武器
為近戰武器附上火焰傷害
為遠程武器附上三分之一的火焰傷害"
4584,"skillan52","強化","附魔"
4586,"skillsd53","創造一個充滿電弧的光球","發射一道會彈跳的閃電"
4587,"skillld53","創造一個閃電之球撞擊後
其中的電弧會流經數個敵人身上","發射一道會在多個目標之間彈跳的閃電"
4589,"skillname54","傳送","傳送術"
4590,"skillsd54","馬上移動到目標","立即移動到指定地點"
4591,"skillld54","馬上移動到你視線所及的目的地","立即移動到你視線所及的指定地點"
4592,"skillan54","傳送","傳送術"
4593,"skillname55","冰尖柱","冰川之槍"
4594,"skillsd55","創造出一個尖冰形成的彗星","射出可凍結目標的寒冰尖槍"
4595,"skillld55","創造出一個魔法的尖冰彗星
冰凍或是殺死臨近的敵人","射出魔法冰槍，凍結與傷害目標週遭的敵人"
4596,"skillan55","冰尖柱","冰川之槍"
4597,"skillname56","隕石","隕石術"
4598,"skillsd56","從天堂召喚一枚隕石","召喚一枚隕石從天而降"
4599,"skillld56","從天堂召喚一枚隕石
壓碎並焚化你的敵人","召喚一枚隕石從天而降，重擊並焚燒你的敵人"
4600,"skillan56","隕石","隕石術"
4601,"skillname57","雷雲風暴","雷電風暴"
4602,"skillsd57","召喚威力強大的暴風雨","召喚威力強大的雷電風暴"
4603,"skillld57","召喚致命的雷電風暴
以連續的電球攻擊你的敵人","召喚致命的雷電風暴，以閃電連續攻擊你的敵人"
4604,"skillan57","雷雲風暴","雷電風暴"
4607,"skillld58","形成一個耗損法力的魔法護盾
當你受傷時代替耗損的生命","造出一個魔法護盾，在你受傷時以法力替代耗損的生命"
4610,"skillsd59","召喚一場強大的冰雪暴","召喚威力強大的暴風雪"
4611,"skillld59","召喚大量的冰塊並摧毀你的敵人","召喚威力強大的暴風雪，降下冰雹消滅敵人"
4613,"skillname60","寒冰裝甲","寒冰甲"
4614,"skillsd60","報復長距離攻擊者","反擊遠程攻擊者"
4615,"skillld60","增加防禦力，並對以長距離攻擊你的敵人
射出復仇的冰彈","提高防禦，並對遠程攻擊者射出反擊的寒冰彈"
4616,"skillan60","寒冰裝甲","寒冰甲"
4618,"skillsd61","被動-增加火焰傷害","被動 - 提高火焰傷害"
4619,"skillld61","被動-讓你的火焰法術的傷害力量變強","被動 - 提高你的火焰法術造成的所有傷害"
4621,"skillname62","九頭蛇","多頭蛇"
4622,"skillsd62","召喚多頭的火焰獸","召喚一個多頭的火焰魔獸"
4623,"skillld62","召喚多頭的火焰獸
把你的敵人化為灰","召喚一個多頭的火焰魔獸，將敵人燒成灰燼"
4624,"skillan62","九頭蛇","多頭蛇"
4626,"skillsd63","被動-降低所有閃電法術的消耗","被動 - 降低所有閃電法術的消耗"
4627,"skillld63","被動-降低你在施用閃電
法術時所需的法力","被動 - 降低施放閃電法術所需的法力"
4630,"skillsd64","創造一個冰凍的死亡之球","造出一個噴發寒冰的死亡光球"
4631,"skillld64","創造一個魔法之球噴出大量的冰彈
毀掉你的敵人","造出一個魔法光球，噴出大量的冰彈重創你的敵人"
4633,"skillname65","冰冷專精","冰寒專精"
4634,"skillsd65","被動-冰系攻擊具有刺穿性","被動 - 冰寒攻擊能穿透敵人的抗性"
4636,"skillan65","冰冷專精","冰寒專精"
4638,"skillsd66","詛咒-加深敵人所受的傷害","詛咒 - 提高敵人受到的傷害"
4639,"skillld66","詛咒一群敵人，讓他們
受到非魔法性傷害時受更重的傷","詛咒一群敵人，使其受到的非魔法傷害提高"
4640,"skillan66","加深","傷害加深"
4641,"skillname67","牙","剔骨之牙"
4642,"skillsd67","射出倒刺的牙","射出尖銳無比的骨牙"
4643,"skillld67","召喚倒鉤般的牙，連續射向目標","召喚尖銳無比的利牙，連續射向目標"
4644,"skillan67","牙","剔骨之牙"
4645,"skillname68","白骨裝甲","骸骨護甲"
4646,"skillsd68","創造出一個可以吸收傷害的白骨外殼","召喚可以吸收傷害的骸骨護盾"
4647,"skillld68","創造出一個環繞著你的白骨外殼
可以吸收近戰中的傷害","召喚骸骨護盾環繞在身旁，吸收近戰傷害"
4648,"skillan68","白骨裝甲","骸骨護甲"
4651,"skillld69","被動-增加你所復甦骷髏
和召喚生物的生命值和傷害力","被動 - 提高你復生的骷髏和重生的生物的生命值與造成的傷害"
4653,"skillname70","骷髏復甦","復生骷髏"
4654,"skillsd70","讓所選擇屍體之中的骷髏站立起來","將目標屍體復生為骷髏戰士"
4655,"skillld70","施展在一個已死的怪物身上，
會讓一個骷髏戰士從中甦醒
並為你而戰","對怪物的屍體施放，將其復生為骷髏戰士為你而戰"
4656,"skillan70","骷髏復甦","復生骷髏"
4657,"skillname71","微暗靈視","昏暗視野"
4658,"skillsd71","詛咒-減低怪物的可見範圍","詛咒 - 減低怪物的視野範圍"
4659,"skillld71","詛咒一群怪物，
降低它們的可見範圍","詛咒一群怪物，降低他們的視野範圍"
4660,"skillan71","微暗靈視","昏暗視野"
4662,"skillsd72","詛咒-降低敵人所造成的傷害","詛咒 - 降低敵人造成的傷害"
4663,"skillld72","詛咒一群敵人， 
降低他們所能造成的傷害","詛咒一群敵人，降低他們造成的傷害"
4666,"skillsd73","在目標的身上釘上一把淬毒的匕首","下一次的匕首攻擊會使目標中毒"
4667,"skillld73","讓匕首攻擊的目標中毒","在你的匕首上施加毒藥，攻擊時讓目標中毒"
4670,"skillsd74","把一個屍體變成炸彈","讓屍體像炸彈爆炸"
4671,"skillld74","施在已經死亡的怪物屍體上，
如果它爆炸的話，打傷附近的敵人","對怪物的屍體施放，使其爆炸，對附近的敵人造成傷害"
4673,"skillname75","黏土石魔","黏土魔像"
4674,"skillsd75","創造一個為你作戰的石魔","創造一個魔像為你作戰"
4675,"skillld75","從大地創造出一個石魔
站在你這邊作戰","從大地創造一個魔像，在你身邊為你而戰"
4676,"skillan75","黏土石魔","黏土魔像"
4678,"skillsd76","詛咒-敵人傷害自己","詛咒 - 敵人會對自己造成傷害"
4679,"skillld76","詛咒一群敵人，讓他們
在傷害其他人時也傷到自己","詛咒一群敵人，使他們對其他人造成傷害時，也會對自己造成傷害"
4682,"skillsd77","詛咒-怪物在恐懼中逃開","詛咒 - 使怪物恐懼奔逃"
4683,"skillld77","導致一群怪物在
恐懼中逃之夭夭","詛咒一群怪物，使其因恐懼落荒而逃"
4686,"skillsd78","創造一道無法通過的障礙","造出一道無法通過的障礙"
4687,"skillld78","創造一道由骨頭和碎片
所組成的的障礙，完全無法通過","用骸骨和土石造出一道無法穿越的障礙"
4689,"skillname79","石魔專精","魔像專精"
4690,"skillsd79","加強石魔的生命和速度","強化魔像的生命值和速度"
4691,"skillld79","加強你所有召喚石魔的生命和速度","強化你召喚的所有魔像的生命值和速度"
4692,"skillan79","石魔專精","魔像專精"
4693,"skillname80","復甦骷髏法師","復生骷髏法師"
4694,"skillsd80","從選定的屍體中，召喚出骷髏法師","將目標屍體復生為骷髏法師"
4695,"skillld80","施展在一個已死的怪物屍體上，
可以讓一個骷髏法師站起來
並為你而戰","對怪物的屍體施放，將其復生為骷髏法師為你而戰"
4697,"skillname81","迷亂","混亂"
4698,"skillsd81","詛咒-怪物隨便攻擊目標","詛咒 - 怪物會攻擊隨機目標"
4699,"skillld81","詛咒一個怪物，逼他隨意攻擊目標","詛咒一個怪物，使其攻擊隨機目標"
4700,"skillan81","迷亂","混亂"
4702,"skillsd82","詛咒-敵人的生命流向攻擊者","詛咒 - 敵人的生命流向攻擊者"
4703,"skillld82","詛咒一群怪物讓它們
受到的傷害流向攻擊者，成為生命點數","詛咒一群怪物，使對其造成傷害的攻擊者恢復生命值"
4706,"skillsd83","把一個屍體變成毒氣瓦斯炸彈","讓屍體變成散播毒氣的炸彈"
4707,"skillld83","施展在一個已死的怪物屍體上，
放出大量的劇毒
讓附近的怪物統統中毒","對怪物的屍體施放，會釋放出毒氣，使附近的怪物中毒"
4710,"skillsd84","召喚一把致命的白骨長矛","召喚致命的骸骨長矛"
4711,"skillld84","召喚一把致命的白骨長矛刺穿你的敵人","召喚致命的骸骨長矛刺穿你的敵人"
4713,"skillname85","鮮血石魔","鮮血魔像"
4714,"skillsd85","一個和你共享生命和傷害的石魔","會竊取生命值與你共享的魔像"
4715,"skillld85","創造出一個和你共享生命的石魔
它會承受它的偷取和傷害","創造出一個會竊取生命值並且分享給你的魔像"
4716,"skillan85","鮮血石魔","鮮血魔像"
4717,"skillname86","吸引","致命吸引"
4718,"skillsd86","詛咒-怪物成為統一的目標","詛咒 - 使怪物成為所有人的目標"
4719,"skillld86","詛咒一個怪物成為
附近所有怪物的攻擊目標
這個詛咒無法被其他法術推翻","詛咒一隻怪物，使其成為周圍其他怪物的攻擊目標。
此詛咒不會被其他詛咒覆蓋"
4720,"skillan86","吸引","致命吸引"
4722,"skillsd87","詛咒-讓敵人變得極度緩慢而衰弱","詛咒 - 使敵人變得極度緩慢而衰弱"
4723,"skillld87","詛咒一群敵人並讓它們
緩慢、衰弱而且受攻擊時生命大量降低","詛咒一群敵人，使他們變得緩慢、虛弱，且受到的傷害提高"
4726,"skillsd88","在目標附近創造出一群用骨頭形成的牢籠","以骸骨形成的障礙困住目標"
4727,"skillld88","在你的目標附近創造出一堆化石般的骨頭","在目標四周造出石化的骸骨屏障將其困住"
4729,"skillname89","召喚抗性","召喚物抗性"
4730,"skillsd89","被動-召喚的怪物獲得抗性","被動 - 使你召喚的僕從抗性提高"
4731,"skillld89","被動-為所有召喚而來的生物
增加它們的抗性","被動 - 使你召喚的所有僕從抗性提高"
4732,"skillan89","召喚抗性","召喚物抗性"
4733,"skillname90","鋼鐵石魔","鋼鐵魔像"
4734,"skillsd90","從一個物品中創造石魔","利用物品創造出魔像"
4735,"skillld90","把一個金屬的物品轉換成石魔，並獲得
該物品的特性","將一個金屬物品轉換成魔像，魔像會獲得該物品的屬性"
4736,"skillan90","鋼鐵石魔","鋼鐵魔像"
4737,"skillname91","降低抵抗","降低抗性"
4738,"skillsd91","詛咒-降低敵人抗魔法能力","詛咒 - 降低敵人對魔法的抗性"
4739,"skillld91","詛咒一個敵人在受到魔法攻擊時，會受到更多的傷害
降低怪物的抗性
降低敵對玩家的最大抗性","詛咒一個敵人，使其遭到魔法攻擊時，會受到更高的傷害
降低怪物的魔法抗性
降低敵對玩家的抗性上限"
4740,"skillan91","降低抵抗","降低抗性"
4742,"skillsd92","發出一個不斷擴張的劇毒之環","散射出一圈向外擴張的劇毒之環"
4743,"skillld92","發出一個不斷擴張的劇毒之環","散射出一圈向外擴張的濃烈劇毒之環"
4745,"skillname93","白骨之魂","骸骨之魂"
4746,"skillsd93","釋放出一個不死的鬼魂","釋放出不死亡魂"
4747,"skillld93","釋放出一個不知疲累的不死生物
開始追擊它的目標或是自行找個目標","釋放一個無法安息的不死冤魂，追擊你的目標或是自行鎖定目標"
4748,"skillan93","白骨之魂","骸骨之魂"
4749,"skillname94","火焰石魔","火焰魔像"
4750,"skillsd94","創造出一個火焰石魔","創造一個火焰魔像"
4751,"skillld94","創造一個石魔，可以把承受到的
火焰傷害轉換成生命","創造一個可以吸收火焰傷害並且轉換成生命值的魔像"
4752,"skillan94","火焰石魔","火焰魔像"
4754,"skillsd95","把一個怪物復活，並為你而戰","復生怪物為你而戰"
4755,"skillld95","讓一個怪物重獲生命
為你而戰","讓一個怪物死而復生，為你而戰"
4757,"skillname96","犧牲","犧牲打擊"
4758,"skillsd96","增加準確性和傷害性","提高準確性和傷害"
4759,"skillld96","增加準確性和傷害性
但以生命為代價","付出自己的生命值，提高準確性和傷害"
4760,"skillan96","犧牲","犧牲打擊"
4761,"skillname97","重擊","盾牌重擊"
4762,"skillsd97","用盾牌重擊","用盾牌猛擊敵人"
4763,"skillld97","可以暫時讓對手昏眩
利用你的盾牌重擊","用盾牌猛擊敵人，暫時讓對手昏迷"
4764,"skillan97","重擊","盾牌重擊"
4766,"skillsd98","靈氣-增加傷害","靈氣 - 提高傷害"
4767,"skillld98","當啟用時，靈氣會增加你和
隊伍成員所造成的傷害","啟用時，靈氣會增加你和隊伍成員所造成的傷害"
4770,"skillsd99","靈氣-生命重生","靈氣 - 恢復生命值"
4771,"skillld99","當啟用時，靈氣會慢慢
的為你和你的隊伍補充生命","啟用時，靈氣會緩緩恢復你和隊伍成員的生命值"
4773,"skillname100","火焰抗性","抗火"
4774,"skillsd100","靈氣-保護你免於火焰傷害","靈氣 - 降低火焰傷害"
4775,"skillld100","當啟用時，靈氣會降低你和你的隊伍
所受到的火焰傷害","啟用時，靈氣會降低你和隊伍成員受到的火焰傷害"
4776,"skillan100","火焰抗性","抗火"
4778,"skillsd101","神聖的能量可傷害不死生物","射出可傷害不死怪物的神聖能量"
4779,"skillld101","一個神屬的能源彈
可以傷害不死的敵人
或治療你的同盟","射出神聖的能量彈，可對惡魔和不死怪物造成傷害，
或是治療你的盟友"
4781,"skillname102","聖火","神聖火焰"
4782,"skillsd102","靈氣-火焰傷害附近的敵人","靈氣 - 以火焰傷害附近的敵人"
4784,"skillan102","聖火","神聖火焰"
4785,"skillname103","刺針","荊棘"
4786,"skillsd103","靈氣-反彈敵人造成的傷害","靈氣 - 反彈敵人造成的傷害"
4787,"skillld103","當啟用時，靈氣會把敵人對你
造成的傷害反彈回去","啟用時，靈氣會把你和隊伍成員受到的近戰傷害反彈回給敵人"
4788,"skillan103","刺針","荊棘"
4790,"skillsd104","靈氣-增加防禦性","靈氣 - 提高防禦"
4791,"skillld104","當啟用時，靈氣會為你和你的
隊伍增加防禦等級","啟用時，靈氣會提高你和隊伍成員的防禦"
4793,"skillname105","冰寒抗性","抗寒"
4794,"skillsd105","靈氣-保護你免於冰寒傷害","靈氣 - 降低冰寒傷害"
4795,"skillld105","當啟用時，靈氣會降低你和
你的隊伍所受到的冰寒傷害","啟用時，靈氣會降低你和隊伍成員受到的冰寒傷害"
4796,"skillan105","冰寒抗性","抗寒"
4797,"skillname106","白熱","熱忱打擊"
4798,"skillsd106","攻擊多個鄰近的敵人","一次攻擊多名鄰近的敵人"
4799,"skillld106","讓你可以在揮動一次武器時
攻擊數個鄰近的敵人","一次攻擊可以連續打擊多名鄰近的敵人"
4800,"skillan106","白熱","熱忱打擊"
4801,"skillname107","突擊","衝鋒打擊"
4802,"skillsd107","突擊並攻擊目標","突進並攻擊目標"
4803,"skillld107","突擊衝入戰場，並攻擊一個敵人","衝入戰場，攻擊敵人"
4804,"skillan107","突擊","衝鋒打擊"
4805,"skillname108","祝福瞄準","精準祝福"
4806,"skillsd108","靈氣-增加你的準確率","靈氣 - 提高你的準確率"
4807,"skillld108","當啟用時，靈氣會增加你和
你的隊伍的準確率 ","啟用時，靈氣會提高你和隊伍成員的準確率 "
4808,"skillan108","祝福瞄準","精準祝福"
4810,"skillsd109","靈氣-降低毒氣和詛咒的持續時間","靈氣 - 降低中毒和詛咒效果的持續時間"
4811,"skillld109","當啟用時，靈氣會降低
你和你的隊伍受
毒氣和詛咒的持續時間","啟用時，靈氣會降低你和隊伍成員受到毒氣和詛咒效果的持續時間"
4813,"skillname110","抵抗閃電","抗電"
4814,"skillsd110","靈氣保護你抵抗閃電的傷害","靈氣 - 降低電擊傷害"
4815,"skillld110","當啟用時，靈氣會降低
對你和隊伍所造成的閃電傷害","啟用時，靈氣會降低你和隊伍成員受到的電擊傷害"
4816,"skillan110","抵抗閃電","抗電"
4817,"skillname111","復仇","復仇打擊"
4818,"skillsd111","在攻擊中附上元素性傷害","攻擊時附加元素傷害"
4819,"skillld111","在每一次成功的攻擊中，會附加
火焰、閃電和冰寒傷害","擊中敵人時攻擊附加火焰、電擊和冰寒傷害"
4820,"skillan111","復仇","復仇打擊"
4822,"skillsd112","召喚一個旋渦般的魔法鐵鎚","召喚一把旋轉飛出的魔法之鎚"
4823,"skillld112","召喚一把永久的鐵鎚
朝敵人旋轉攻擊
對不死系生物造成150%的傷害","召喚一把魔法之鎚，朝外旋轉飛出，傷害擊中的敵人"
4826,"skillsd113","靈氣-增加你的攻擊力","靈氣 - 提高你的攻擊力"
4827,"skillld113","當啟用時，靈氣會讓你和你的隊伍
增加破壞力，並降低攻擊中斷的可能","啟用時，靈氣會提高你和隊伍成員造成的傷害，並降低攻擊中斷的機率"
4830,"skillsd114","靈氣-凍住附近的怪物","靈氣 - 凍住附近的怪物"
4831,"skillld114","當啟用時，靈氣會冰凍附近的怪物
為你的攻擊附加冰寒傷害","啟用時，靈氣會凍住附近的怪物
為你的攻擊附加冰寒傷害"
4833,"skillname115","精力","活力"
4834,"skillsd115","靈氣-增加速度以及耐力的回復速度","靈氣 - 提高速度和精力恢復率"
4835,"skillld115","當啟用時，靈氣會增加你和你隊伍的耐力回復速度、耐力的上限以及你的移動速度","啟用時，靈氣會提高你和隊伍成員的精力恢復率，精力上限，以及移動速度"
4836,"skillan115","精力","活力"
4837,"skillname116","轉換","招降打擊"
4838,"skillsd116","變更怪物的陣營","改變怪物的陣營"
4839,"skillld116","讓正在和你作戰的怪物
轉頭攻擊惡魔和怪物","招降怪物，使其轉而攻擊其他惡魔和野獸"
4840,"skillan116","轉換","招降打擊"
4842,"skillsd117","加強你的盾牌","強化你的盾牌"
4843,"skillld117","利用神屬的力量來加強你的盾牌","以神聖力量強化你的盾牌"
4845,"skillname118","神聖衝擊","神聖電擊"
4846,"skillsd118","靈氣-對附近敵人造成閃電傷害","靈氣 - 對附近敵人造成電擊傷害"
4847,"skillld118","當啟用時，靈氣會導致電擊般的衝擊
來傷害附近的敵人","啟用時，靈氣會引發電流脈衝，對附近的敵人造成電擊傷害"
4848,"skillan118","神聖衝擊","神聖電擊"
4849,"skillname119","庇護所","庇護"
4850,"skillsd119","靈氣-趨逐並傷害不死系生物","靈氣 - 驅退並傷害不死怪物"
4851,"skillld119","當啟用時，靈氣會傷害不死系生物
並逼退它們","啟用時，靈氣會傷害不死怪物，並將其擊退"
4852,"skillan119","庇護所","庇護"
4853,"skillname120","冥思","冥想"
4854,"skillsd120","靈氣-增加你的法力回復速度","靈氣 - 提高法力恢復率"
4855,"skillld120","當啟用時，靈氣會增加
你和你隊伍的法力回復速度","啟用時，靈氣會提高你和隊伍成員的法力恢復率"
4856,"skillan120","冥思","冥想"
4858,"skillsd121","目標將被放逐","目標將受到聖光之力的制裁"
4859,"skillld121","閃電攻擊，並發出聖光彈自動找出
附近的敵人攻擊你的目標","閃電從天而降，再朝附近的敵人放射聖光彈"
4862,"skillsd122","靈氣-增加攻擊速度","靈氣 - 提高攻擊速度"
4863,"skillld122","當啟用時，靈氣會讓你和你
隊伍的攻擊速度和準確率提昇","啟用時，靈氣會提高你和隊伍成員的攻擊速度與準確率"
4866,"skillsd123","靈氣-削弱敵人","靈氣 - 削弱敵人"
4867,"skillld123","當啟用時，靈氣會降低附近敵人的
防禦力量和抗性","啟用時，靈氣會降低附近敵人的防禦和抗性"
4870,"skillsd124","靈氣-讓死去的人重獲法力和生命","靈氣 - 救贖死者，恢復法力和生命值"
4871,"skillld124","當啟用時，靈氣會試著利用
被殺死敵人的靈魂，讓你和隊伍
中的人員重獲法力和生命","啟用時，靈氣會試圖救贖死亡敵人的靈魂，恢復你和隊伍成員的生命值與法力"
4873,"skillname125","救助","聖護"
4874,"skillsd125","靈氣-保護你免於元素性的傷害","靈氣 - 降低元素傷害"
4875,"skillld125","當啟用時，靈氣會降低火焰、冰凍和
閃電對你和你的隊伍所造成的傷害","啟用時，靈氣會降低你和隊伍成員受到的火焰、冰寒和電擊傷害"
4876,"skillan125","救助","聖護"
4877,"skillname126","重擊","猛擊"
4878,"skillsd126","威力強大的一擊，以增加傷害","提高傷害的強力打擊"
4879,"skillld126","威力強大的一擊，可以增加造成的傷害
並把敵人打退","造成大量傷害並將敵人擊退的強力打擊"
4880,"skillan126","重擊","猛擊"
4881,"skillname127","長劍專精","利刃專精"
4882,"skillsd127","被動-增加你用劍的戰鬥技能","被動 - 提高你使用刀劍與匕首的戰鬥技巧"
4883,"skillld127","被動-增加你用劍的戰鬥技能","被動 - 提高你使用刀劍與匕首的戰鬥技巧"
4884,"skillan127","長劍專精","利刃專精"
4885,"skillname128","斧頭專精","斧術專精"
4886,"skillsd128","被動-增加你用斧的戰鬥技能","被動 - 提高你使用斧的戰鬥技巧"
4887,"skillld128","被動-增加你用斧的戰鬥技能","被動 - 提高你使用斧的戰鬥技巧"
4888,"skillan128","斧頭專精","斧術專精"
4889,"skillname129","釘頭鎚專精","釘鎚專精"
4890,"skillsd129","被動-增加你用釘頭鎚的戰鬥技能","被動 - 提高你使用釘鎚的戰鬥技巧"
4891,"skillld129","被動-增加你用釘頭鎚的戰鬥技能","被動 - 提高你使用釘鎚的戰鬥技巧"
4892,"skillan129","釘頭鎚專精","釘鎚專精"
4894,"skillsd130","嚇壞附近的怪物","驚嚇附近的怪物"
4895,"skillld130","讓附近的怪物在
恐懼之中四散奔跑","發出驚人嗥叫，使附近的怪物恐懼逃竄"
