4598,"從天堂召喚一枚隕石","召喚一枚隕石從天而降"
4599,"從天堂召喚一枚隕石
壓碎並焚化你的敵人","召喚一枚隕石從天而降，重擊並焚燒你的敵人"
4600,"隕石","隕石術"
4601,"雷雲風暴","雷電風暴"
4602,"召喚威力強大的暴風雨","召喚威力強大的雷電風暴"
4603,"召喚致命的雷電風暴
以連續的電球攻擊你的敵人","召喚致命的雷電風暴，以閃電連續攻擊你的敵人"
4604,"雷雲風暴","雷電風暴"
4607,"形成一個耗損法力的魔法護盾
當你受傷時代替耗損的生命","造出一個魔法護盾，在你受傷時以法力替代耗損的生命"
4610,"召喚一場強大的冰雪暴","召喚威力強大的暴風雪"
4611,"召喚大量的冰塊並摧毀你的敵人","召喚威力強大的暴風雪，降下冰雹消滅敵人"
4613,"寒冰裝甲","寒冰甲"
4614,"報復長距離攻擊者","反擊遠程攻擊者"
4615,"增加防禦力，並對以長距離攻擊你的敵人
射出復仇的冰彈","提高防禦，並對遠程攻擊者射出反擊的寒冰彈"
4616,"寒冰裝甲","寒冰甲"
4618,"被動-增加火焰傷害","被動 - 提高火焰傷害"
4619,"被動-讓你的火焰法術的傷害力量變強","被動 - 提高你的火焰法術造成的所有傷害"
4621,"九頭蛇","多頭蛇"
4622,"召喚多頭的火焰獸","召喚一個多頭的火焰魔獸"
4623,"召喚多頭的火焰獸
把你的敵人化為灰","召喚一個多頭的火焰魔獸，將敵人燒成灰燼"
4624,"九頭蛇","多頭蛇"
4626,"被動-降低所有閃電法術的消耗","被動 - 降低所有閃電法術的消耗"
4627,"被動-降低你在施用閃電
法術時所需的法力","被動 - 降低施放閃電法術所需的法力"
4630,"創造一個冰凍的死亡之球","造出一個噴發寒冰的死亡光球"
4631,"創造一個魔法之球噴出大量的冰彈
毀掉你的敵人","造出一個魔法光球，噴出大量的冰彈重創你的敵人"
4633,"冰冷專精","冰寒專精"
4634,"被動-冰系攻擊具有刺穿性","被動 - 冰寒攻擊能穿透敵人的抗性"
4636,"冰冷專精","冰寒專精"
4638,"詛咒-加深敵人所受的傷害","詛咒 - 提高敵人受到的傷害"
4639,"詛咒一群敵人，讓他們
受到非魔法性傷害時受更重的傷","詛咒一群敵人，使其受到的非魔法傷害提高"
4640,"加深","傷害加深"
4641,"牙","剔骨之牙"
4642,"射出倒刺的牙","射出尖銳無比的骨牙"
4643,"召喚倒鉤般的牙，連續射向目標","召喚尖銳無比的利牙，連續射向目標"
4644,"牙","剔骨之牙"
4645,"白骨裝甲","骸骨護甲"
4646,"創造出一個可以吸收傷害的白骨外殼","召喚可以吸收傷害的骸骨護盾"
4647,"創造出一個環繞著你的白骨外殼
可以吸收近戰中的傷害","召喚骸骨護盾環繞在身旁，吸收近戰傷害"
4648,"白骨裝甲","骸骨護甲"
4651,"被動-增加你所復甦骷髏
和召喚生物的生命值和傷害力","被動 - 提高你復生的骷髏和重生的生物的生命值與造成的傷害"
4653,"骷髏復甦","復生骷髏"
4654,"讓所選擇屍體之中的骷髏站立起來","將目標屍體復生為骷髏戰士"
4655,"施展在一個已死的怪物身上，
會讓一個骷髏戰士從中甦醒
並為你而戰","對怪物的屍體施放，將其復生為骷髏戰士為你而戰"
4656,"骷髏復甦","復生骷髏"
4657,"微暗靈視","昏暗視野"
4658,"詛咒-減低怪物的可見範圍","詛咒 - 減低怪物的視野範圍"
4659,"詛咒一群怪物，
降低它們的可見範圍","詛咒一群怪物，降低他們的視野範圍"
4660,"微暗靈視","昏暗視野"
4662,"詛咒-降低敵人所造成的傷害","詛咒 - 降低敵人造成的傷害"
4663,"詛咒一群敵人， 
降低他們所能造成的傷害","詛咒一群敵人，降低他們造成的傷害"
4666,"在目標的身上釘上一把淬毒的匕首","下一次的匕首攻擊會使目標中毒"
4667,"讓匕首攻擊的目標中毒","在你的匕首上施加毒藥，攻擊時讓目標中毒"
4670,"把一個屍體變成炸彈","讓屍體像炸彈爆炸"
4671,"施在已經死亡的怪物屍體上，
如果它爆炸的話，打傷附近的敵人","對怪物的屍體施放，使其爆炸，對附近的敵人造成傷害"
4673,"黏土石魔","黏土魔像"
4674,"創造一個為你作戰的石魔","創造一個魔像為你作戰"
4675,"從大地創造出一個石魔
站在你這邊作戰","從大地創造一個魔像，在你身邊為你而戰"
4676,"黏土石魔","黏土魔像"
4678,"詛咒-敵人傷害自己","詛咒 - 敵人會對自己造成傷害"
4679,"詛咒一群敵人，讓他們
在傷害其他人時也傷到自己","詛咒一群敵人，使他們對其他人造成傷害時，也會對自己造成傷害"
4682,"詛咒-怪物在恐懼中逃開","詛咒 - 使怪物恐懼奔逃"
4683,"導致一群怪物在
恐懼中逃之夭夭","詛咒一群怪物，使其因恐懼落荒而逃"
4686,"創造一道無法通過的障礙","造出一道無法通過的障礙"
4687,"創造一道由骨頭和碎片
所組成的的障礙，完全無法通過","用骸骨和土石造出一道無法穿越的障礙"
4689,"石魔專精","魔像專精"
4690,"加強石魔的生命和速度","強化魔像的生命值和速度"
4691,"加強你所有召喚石魔的生命和速度","強化你召喚的所有魔像的生命值和速度"
4692,"石魔專精","魔像專精"
4693,"復甦骷髏法師","復生骷髏法師"
4694,"從選定的屍體中，召喚出骷髏法師","將目標屍體復生為骷髏法師"
4695,"施展在一個已死的怪物屍體上，
可以讓一個骷髏法師站起來
並為你而戰","對怪物的屍體施放，將其復生為骷髏法師為你而戰"
4697,"迷亂","混亂"
4698,"詛咒-怪物隨便攻擊目標","詛咒 - 怪物會攻擊隨機目標"
4699,"詛咒一個怪物，逼他隨意攻擊目標","詛咒一個怪物，使其攻擊隨機目標"
4700,"迷亂","混亂"
4702,"詛咒-敵人的生命流向攻擊者","詛咒 - 敵人的生命流向攻擊者"
4703,"詛咒一群怪物讓它們
受到的傷害流向攻擊者，成為生命點數","詛咒一群怪物，使對其造成傷害的攻擊者恢復生命值"
4706,"把一個屍體變成毒氣瓦斯炸彈","讓屍體變成散播毒氣的炸彈"
4707,"施展在一個已死的怪物屍體上，
放出大量的劇毒
讓附近的怪物統統中毒","對怪物的屍體施放，會釋放出毒氣，使附近的怪物中毒"
4710,"召喚一把致命的白骨長矛","召喚致命的骸骨長矛"
4711,"召喚一把致命的白骨長矛刺穿你的敵人","召喚致命的骸骨長矛刺穿你的敵人"
4713,"鮮血石魔","鮮血魔像"
4714,"一個和你共享生命和傷害的石魔","會竊取生命值與你共享的魔像"
4715,"創造出一個和你共享生命的石魔
它會承受它的偷取和傷害","創造出一個會竊取生命值並且分享給你的魔像"
4716,"鮮血石魔","鮮血魔像"
4717,"吸引","致命吸引"
4718,"詛咒-怪物成為統一的目標","詛咒 - 使怪物成為所有人的目標"
4719,"詛咒一個怪物成為
附近所有怪物的攻擊目標
這個詛咒無法被其他法術推翻","詛咒一隻怪物，使其成為周圍其他怪物的攻擊目標。
此詛咒不會被其他詛咒覆蓋"
4720,"吸引","致命吸引"
4722,"詛咒-讓敵人變得極度緩慢而衰弱","詛咒 - 使敵人變得極度緩慢而衰弱"
4723,"詛咒一群敵人並讓它們
緩慢、衰弱而且受攻擊時生命大量降低","詛咒一群敵人，使他們變得緩慢、虛弱，且受到的傷害提高"
4726,"在目標附近創造出一群用骨頭形成的牢籠","以骸骨形成的障礙困住目標"
4727,"在你的目標附近創造出一堆化石般的骨頭","在目標四周造出石化的骸骨屏障將其困住"
4729,"召喚抗性","召喚物抗性"
4730,"被動-召喚的怪物獲得抗性","被動 - 使你召喚的僕從抗性提高"
4731,"被動-為所有召喚而來的生物
增加它們的抗性","被動 - 使你召喚的所有僕從抗性提高"
4732,"召喚抗性","召喚物抗性"
4733,"鋼鐵石魔","鋼鐵魔像"
4734,"從一個物品中創造石魔","利用物品創造出魔像"
4735,"把一個金屬的物品轉換成石魔，並獲得
該物品的特性","將一個金屬物品轉換成魔像，魔像會獲得該物品的屬性"
4736,"鋼鐵石魔","鋼鐵魔像"
4737,"降低抵抗","降低抗性"
4738,"詛咒-降低敵人抗魔法能力","詛咒 - 降低敵人對魔法的抗性"
4739,"詛咒一個敵人在受到魔法攻擊時，會受到更多的傷害
降低怪物的抗性
降低敵對玩家的最大抗性","詛咒一個敵人，使其遭到魔法攻擊時，會受到更高的傷害
降低怪物的魔法抗性
降低敵對玩家的抗性上限"
4740,"降低抵抗","降低抗性"
4742,"發出一個不斷擴張的劇毒之環","散射出一圈向外擴張的劇毒之環"
4743,"發出一個不斷擴張的劇毒之環","散射出一圈向外擴張的濃烈劇毒之環"
4745,"白骨之魂","骸骨之魂"
4746,"釋放出一個不死的鬼魂","釋放出不死亡魂"
4747,"釋放出一個不知疲累的不死生物
開始追擊它的目標或是自行找個目標","釋放一個無法安息的不死冤魂，追擊你的目標或是自行鎖定目標"
4748,"白骨之魂","骸骨之魂"
4749,"火焰石魔","火焰魔像"
4750,"創造出一個火焰石魔","創造一個火焰魔像"
4751,"創造一個石魔，可以把承受到的
火焰傷害轉換成生命","創造一個可以吸收火焰傷害並且轉換成生命值的魔像"
4752,"火焰石魔","火焰魔像"
4754,"把一個怪物復活，並為你而戰","復生怪物為你而戰"
4755,"讓一個怪物重獲生命
為你而戰","讓一個怪物死而復生，為你而戰"
4757,"犧牲","犧牲打擊"
4758,"增加準確性和傷害性","提高準確性和傷害"
4759,"增加準確性和傷害性
但以生命為代價","付出自己的生命值，提高準確性和傷害"
4760,"犧牲","犧牲打擊"
4761,"重擊","盾牌重擊"
4762,"用盾牌重擊","用盾牌猛擊敵人"
4763,"可以暫時讓對手昏眩
利用你的盾牌重擊","用盾牌猛擊敵人，暫時讓對手昏迷"
4764,"重擊","盾牌重擊"
4766,"靈氣-增加傷害","靈氣 - 提高傷害"
4767,"當啟用時，靈氣會增加你和
隊伍成員所造成的傷害","啟用時，靈氣會增加你和隊伍成員所造成的傷害"
4770,"靈氣-生命重生","靈氣 - 恢復生命值"
4771,"當啟用時，靈氣會慢慢
的為你和你的隊伍補充生命","啟用時，靈氣會緩緩恢復你和隊伍成員的生命值"
4773,"火焰抗性","抗火"
4774,"靈氣-保護你免於火焰傷害","靈氣 - 降低火焰傷害"
4775,"當啟用時，靈氣會降低你和你的隊伍
所受到的火焰傷害","啟用時，靈氣會降低你和隊伍成員受到的火焰傷害"
4776,"火焰抗性","抗火"
4778,"神聖的能量可傷害不死生物","射出可傷害不死怪物的神聖能量"
4779,"一個神屬的能源彈
可以傷害不死的敵人
或治療你的同盟","射出神聖的能量彈，可對惡魔和不死怪物造成傷害，
或是治療你的盟友"
4781,"聖火","神聖火焰"
4782,"靈氣-火焰傷害附近的敵人","靈氣 - 以火焰傷害附近的敵人"
4784,"聖火","神聖火焰"
4785,"刺針","荊棘"
4786,"靈氣-反彈敵人造成的傷害","靈氣 - 反彈敵人造成的傷害"
4787,"當啟用時，靈氣會把敵人對你
造成的傷害反彈回去","啟用時，靈氣會把你和隊伍成員受到的近戰傷害反彈回給敵人"
4788,"刺針","荊棘"
4790,"靈氣-增加防禦性","靈氣 - 提高防禦"
4791,"當啟用時，靈氣會為你和你的
隊伍增加防禦等級","啟用時，靈氣會提高你和隊伍成員的防禦"
4793,"冰寒抗性","抗寒"
4794,"靈氣-保護你免於冰寒傷害","靈氣 - 降低冰寒傷害"
4795,"當啟用時，靈氣會降低你和
你的隊伍所受到的冰寒傷害","啟用時，靈氣會降低你和隊伍成員受到的冰寒傷害"
4796,"冰寒抗性","抗寒"
4797,"白熱","熱忱打擊"
4798,"攻擊多個鄰近的敵人","一次攻擊多名鄰近的敵人"
4799,"讓你可以在揮動一次武器時
攻擊數個鄰近的敵人","一次攻擊可以連續打擊多名鄰近的敵人"
4800,"白熱","熱忱打擊"
4801,"突擊","衝鋒打擊"
4802,"突擊並攻擊目標","突進並攻擊目標"
4803,"突擊衝入戰場，並攻擊一個敵人","衝入戰場，攻擊敵人"
4804,"突擊","衝鋒打擊"
4805,"祝福瞄準","精準祝福"
4806,"靈氣-增加你的準確率","靈氣 - 提高你的準確率"
4807,"當啟用時，靈氣會增加你和
你的隊伍的準確率 ","啟用時，靈氣會提高你和隊伍成員的準確率 "
4808,"祝福瞄準","精準祝福"
4810,"靈氣-降低毒氣和詛咒的持續時間","靈氣 - 降低中毒和詛咒效果的持續時間"
4811,"當啟用時，靈氣會降低
你和你的隊伍受
毒氣和詛咒的持續時間","啟用時，靈氣會降低你和隊伍成員受到毒氣和詛咒效果的持續時間"
4813,"抵抗閃電","抗電"
4814,"靈氣保護你抵抗閃電的傷害","靈氣 - 降低電擊傷害"
4815,"當啟用時，靈氣會降低
對你和隊伍所造成的閃電傷害","啟用時，靈氣會降低你和隊伍成員受到的電擊傷害"
4816,"抵抗閃電","抗電"
4817,"復仇","復仇打擊"
4818,"在攻擊中附上元素性傷害","攻擊時附加元素傷害"
4819,"在每一次成功的攻擊中，會附加
火焰、閃電和冰寒傷害","擊中敵人時攻擊附加火焰、電擊和冰寒傷害"
4820,"復仇","復仇打擊"
4822,"召喚一個旋渦般的魔法鐵鎚","召喚一把旋轉飛出的魔法之鎚"
4823,"召喚一把永久的鐵鎚
朝敵人旋轉攻擊
對不死系生物造成150%的傷害","召喚一把魔法之鎚，朝外旋轉飛出，傷害擊中的敵人"
4826,"靈氣-增加你的攻擊力","靈氣 - 提高你的攻擊力"
4827,"當啟用時，靈氣會讓你和你的隊伍
增加破壞力，並降低攻擊中斷的可能","啟用時，靈氣會提高你和隊伍成員造成的傷害，並降低攻擊中斷的機率"
4830,"靈氣-凍住附近的怪物","靈氣 - 凍住附近的怪物"
4831,"當啟用時，靈氣會冰凍附近的怪物
為你的攻擊附加冰寒傷害","啟用時，靈氣會凍住附近的怪物
為你的攻擊附加冰寒傷害"
4833,"精力","活力"
4834,"靈氣-增加速度以及耐力的回復速度","靈氣 - 提高速度和精力恢復率"
4835,"當啟用時，靈氣會增加你和你隊伍的耐力回復速度、耐力的上限以及你的移動速度","啟用時，靈氣會提高你和隊伍成員的精力恢復率，精力上限，以及移動速度"
4836,"精力","活力"
4837,"轉換","招降打擊"
4838,"變更怪物的陣營","改變怪物的陣營"
4839,"讓正在和你作戰的怪物
轉頭攻擊惡魔和怪物","招降怪物，使其轉而攻擊其他惡魔和野獸"
4840,"轉換","招降打擊"
4842,"加強你的盾牌","強化你的盾牌"
4843,"利用神屬的力量來加強你的盾牌","以神聖力量強化你的盾牌"
4845,"神聖衝擊","神聖電擊"
4846,"靈氣-對附近敵人造成閃電傷害","靈氣 - 對附近敵人造成電擊傷害"
4847,"當啟用時，靈氣會導致電擊般的衝擊
來傷害附近的敵人","啟用時，靈氣會引發電流脈衝，對附近的敵人造成電擊傷害"
4848,"神聖衝擊","神聖電擊"
4849,"庇護所","庇護"
4850,"靈氣-趨逐並傷害不死系生物","靈氣 - 驅退並傷害不死怪物"
4851,"當啟用時，靈氣會傷害不死系生物
並逼退它們","啟用時，靈氣會傷害不死怪物，並將其擊退"
4852,"庇護所","庇護"
4853,"冥思","冥想"
4854,"靈氣-增加你的法力回復速度","靈氣 - 提高法力恢復率"
4855,"當啟用時，靈氣會增加
你和你隊伍的法力回復速度","啟用時，靈氣會提高你和隊伍成員的法力恢復率"
4856,"冥思","冥想"
4858,"目標將被放逐","目標將受到聖光之力的制裁"
4859,"閃電攻擊，並發出聖光彈自動找出
附近的敵人攻擊你的目標","閃電從天而降，再朝附近的敵人放射聖光彈"
4862,"靈氣-增加攻擊速度","靈氣 - 提高攻擊速度"
4863,"當啟用時，靈氣會讓你和你
隊伍的攻擊速度和準確率提昇","啟用時，靈氣會提高你和隊伍成員的攻擊速度與準確率"
4866,"靈氣-削弱敵人","靈氣 - 削弱敵人"
4867,"當啟用時，靈氣會降低附近敵人的
防禦力量和抗性","啟用時，靈氣會降低附近敵人的防禦和抗性"
4870,"靈氣-讓死去的人重獲法力和生命","靈氣 - 救贖死者，恢復法力和生命值"
4871,"當啟用時，靈氣會試著利用
被殺死敵人的靈魂，讓你和隊伍
中的人員重獲法力和生命","啟用時，靈氣會試圖救贖死亡敵人的靈魂，恢復你和隊伍成員的生命值與法力"
4873,"救助","聖護"
4874,"靈氣-保護你免於元素性的傷害","靈氣 - 降低元素傷害"
4875,"當啟用時，靈氣會降低火焰、冰凍和
閃電對你和你的隊伍所造成的傷害","啟用時，靈氣會降低你和隊伍成員受到的火焰、冰寒和電擊傷害"
4876,"救助","聖護"
4877,"重擊","猛擊"
4878,"威力強大的一擊，以增加傷害","提高傷害的強力打擊"
4879,"威力強大的一擊，可以增加造成的傷害
並把敵人打退","造成大量傷害並將敵人擊退的強力打擊"
4880,"重擊","猛擊"
4881,"長劍專精","利刃專精"
4882,"被動-增加你用劍的戰鬥技能","被動 - 提高你使用刀劍與匕首的戰鬥技巧"
4883,"被動-增加你用劍的戰鬥技能","被動 - 提高你使用刀劍與匕首的戰鬥技巧"
4884,"長劍專精","利刃專精"
4885,"斧頭專精","斧術專精"
4886,"被動-增加你用斧的戰鬥技能","被動 - 提高你使用斧的戰鬥技巧"
4887,"被動-增加你用斧的戰鬥技能","被動 - 提高你使用斧的戰鬥技巧"
4888,"斧頭專精","斧術專精"
4889,"釘頭鎚專精","釘鎚專精"
4890,"被動-增加你用釘頭鎚的戰鬥技能","被動 - 提高你使用釘鎚的戰鬥技巧"
4891,"被動-增加你用釘頭鎚的戰鬥技能","被動 - 提高你使用釘鎚的戰鬥技巧"
4892,"釘頭鎚專精","釘鎚專精"
4894,"嚇壞附近的怪物","驚嚇附近的怪物"
4895,"讓附近的怪物在
恐懼之中四散奔跑","發出驚人嗥叫，使附近的怪物恐懼逃竄"
4897,"找尋藥劑","尋找藥水"
4898,"對準屍體找出藥劑","在屍體上尋找藥水"
4899,"使用在殺死怪物的屍體
看看有沒有機會找出藥劑","在殺死的怪物屍體上使用，有一定機率找到藥水"
4900,"找尋藥劑","尋找藥水"
4902,"跳過障礙","跳過障礙物"
4903,"跳躍到空中
在著地時擊退附近的敵人","猛躍到空中，並在著地時擊退附近的敵人"
4906,"同時揮動二把武器","同時揮動兩把武器"
4907,"裝備兩把武器時，
優先攻擊兩名目標，
或同一名目標兩次","裝備兩把武器時，優先攻擊兩名目標，或同一名目標兩次"
4909,"長棍專精","長武專精"
4910,"被動-增加你用長棍的戰鬥技能","被動 - 提高你使用長柄武器的戰鬥技巧"
4911,"被動-增加你用長棍的戰鬥技能","被動 - 提高你使用長柄武器的戰鬥技巧"
4912,"長棍專精","長武專精"
4913,"飛擲專精","投擲專精"
4914,"被動-增加你用投擲性武器的戰鬥技能","被動 - 提高你投擲武器的戰鬥技巧"
4915,"被動-增加你用投擲性武器的戰鬥技能","被動 - 提高你投擲武器的戰鬥技巧"
4916,"飛擲專精","投擲專精"
4918,"被動-增加你用長矛的戰鬥技能","被動 - 提高你使用長矛的戰鬥技巧"
4919,"被動-增加你用長矛的戰鬥技能","被動 - 提高你使用長矛的戰鬥技巧"
4921,"嘲弄","嘲諷"
4922,"導致一個怪物開始攻擊","激怒一頭怪物攻擊你"
4923,"觸怒一個怪物，讓他展開無情的攻擊","激怒一頭怪物，使其不顧一切攻擊你"
4924,"嘲弄","嘲諷"
4925,"大叫","大吼"
4926,"警告你的隊伍，並加強防禦","警告你的隊伍，提高防禦"
4927,"警告你和你的隊伍眼前逼近的
危險，並加強你的防禦力","警告隊伍成員危險逼近，提高你和隊伍成員的防禦"
4928,"大叫","大吼"
4930,"把你的目標擊昏","擊昏你的目標"
4931,"把你的目標擊昏一小段時間
並增加你的準確率","擊昏你的目標一小段時間，並提高準確率"
4934,"同時丟出二個武器","同時投擲兩個武器"
4935,"可以讓你在同一時間
丟出二種不同的武器","讓你可以同時投出兩個不同的投擲武器"
4937,"增加耐力","提高精力"
4938,"被動-增加耐力","被動 - 提高精力"
4939,"被動-增加你的耐力","被動 - 提高你的精力"
4940,"增加耐力","提高精力"
4941,"找尋物品","尋找物品"
4942,"對準屍體找尋物品","在屍體上尋找物品"
4943,"在已殺死的怪物屍體
中找出隱藏的寶物","在殺死的怪物屍體上使用，找出隱藏的寶物"
4944,"找尋物品","尋找物品"
4945,"跳躍攻擊","躍擊"
4946,"跳躍並攻擊目標的敵人","跳躍並攻擊指定的敵人"
4947,"跳躍並對攻擊目標
進行迅速的突擊","跳躍攻擊指定的敵人，並對
周圍的敵人造成傷害"
4948,"跳躍攻擊","躍擊"
4949,"專心","專注打擊"
4950,"讓攻擊完全不受干擾","不會被中斷的攻擊"
4951,"讓攻擊不致於中斷而且
提高準確率和防禦力","能提高準確率和防禦，並且不會被中斷的攻擊"
4952,"專心","專注打擊"
4953,"鐵布杉","鋼鐵之膚"
4954,"被動-增加你的防禦力","被動 - 提高防禦"
4955,"被動-增加你的防禦力","被動 - 提高防禦"
4956,"鐵布杉","鋼鐵之膚"
4957,"戰嗥","戰鬥怒吼"
4958,"降低敵人的效率","降低敵人的戰鬥能力"
4960,"戰嗥","戰鬥怒吼"
4961,"狂亂","狂亂連擊"
4962,"成功擊中讓揮動速度加倍","擊中時會提高速度的雙手攻擊"
4963,"讓你同時揮動二把武器
每次成功的擊中後可以增加你整體性的攻擊速度
必須先裝備二把武器","同時揮動兩把武器，且成功擊中後會使你的速度提高
必須裝備兩把武器"
4964,"狂亂","狂亂連擊"
4965,"加速","提高速度"
4966,"被動-增加行走和跑步的速度","被動 - 提高行走和奔跑的速度"
4967,"被動-增加行走和跑步的速度","被動 - 提高行走和奔跑的速度"
4968,"加速","提高速度"
4969,"戰鬥體制","戰鬥命令"
4970,"加強隊伍的生命、法力和耐力","提高隊伍的生命、法力和精力"
4971,"加強你和你隊伍的
法力、生命和耐力上限 ","提高你和隊伍成員的法力、生命和精力上限"
4972,"戰鬥體制","戰鬥命令"
4973,"殘酷嚇阻","恐怖圖騰"
4974,"創造出一個嚇人的圖騰","造出一個嚇人的圖騰"
4975,"施展在已死的怪物屍體上
創造一個嚇人的圖騰
導致附近的怪物四散逃避","在殺死的怪物屍體上使用，造出一個嚇人的圖騰，使附近的怪物恐懼逃竄"
4976,"殘酷嚇阻","恐怖圖騰"
4977,"旋風","旋風斬"
4979,"旋轉的死亡之舞
在敵陣之中
殺出一條血路","以旋轉的死亡之舞，在敵陣之中斬出一條血路"
4980,"旋風","旋風斬"
4981,"狂戰士","狂暴之擊"
4982,"威力強大但危險的攻擊方式","威力強大但危險的攻擊"
4983,"威力強大但危險的攻擊方式
增加傷害力和準確率
但會降低防禦力","威力強大但危險的攻擊，使你的傷害和準確率提高，但防禦降低"
4984,"狂戰士","狂暴之擊"
4986,"被動-增加自然抗性","被動 - 提高自然抗性"
4987,"被動-增加自然的抗性降低毒素和元素系的傷害","被動 - 提高對毒素和元素傷害的抗性"
4989,"戰鬥狂嗥","戰爭狂嘯"
4990,"讓附近的敵人受傷並昏眩","讓附近的敵人受傷並昏迷"
4991,"讓附近的敵人受傷並昏眩","讓附近的所有敵人受傷並昏迷"
4992,"戰鬥狂嗥","戰爭狂嘯"
4994,"增加技能等級","提高技能等級"
4995,"增加你和你隊伍的技能等級","提高你和隊伍成員目前的所有技能等級"
4997,"辨視卷軸","鑑定卷軸"
4998,"辨視一個魔法物品的屬性","鑑定一個魔法物品的屬性"
4999,"辨視一個魔法物品的屬性","鑑定一個魔法物品的屬性"
5000,"辨視","鑑定"
5001,"辨視之書","鑑定之書"
5002,"辨視一個魔法物品的屬性","鑑定一個魔法物品的屬性"
5003,"辨視一個魔法物品的屬性","鑑定一個魔法物品的屬性"
5004,"辨視","鑑定"
5006,"創造出一個魔法傳送門，通往最近的城市","開啟一個魔法傳送門，通往最近的城鎮"
5007,"創造出一個魔法傳送門，通往最近的城市","開啟一個魔法傳送門，通往最近的城鎮"
5010,"創造出一個魔法傳送門，通往最近的城市","開啟一個魔法傳送門，通往最近的城鎮"
5011,"創造出一個魔法傳送門，通往最近的城市","開啟一個魔法傳送門，通往最近的城鎮"
5369,"無法進入遊戲，人物技能資料損壞","無法進入遊戲。人物技能資料毀損"
10003,"吸收%d%%","吸收 %d%%"
10053,"閃電傷害：%d-%d 對你的攻擊","電擊傷害：附加 %d - %d 點至你的攻擊"
10214,"以魔法火焰強化你的箭矢或十字弓彈","以魔法火焰強化你的箭矢或弩箭"
10218,"以魔法強化你的箭矢或十字弓彈，附加冰寒傷害與緩速效果
冷霜箭只會造成平時一半的傷害","以魔法強化你的箭矢或弩箭，附加冰寒傷害與緩速效果
冷霜箭只會造成平時一半的傷害"
10230,"以魔法強化你的箭矢或十字弓彈，
附加冰寒傷害與緩速效果。
冷霜箭只會造成平時一半的傷害","以魔法強化你的箭矢或弩箭，附加冰寒傷害與緩速效果
冷霜箭只會造成平時一半的傷害"
10270,"以魔法強化你的箭矢或弩箭，冰凍你的敵人","以魔法強化你的箭矢或弩箭，凍結你的敵人"
10294,"強化你的箭矢或十字弓彈，造成大量火焰傷害，並在擊中地點燃起烈火","強化你的箭矢或弩箭，造成大量火焰傷害，並在擊中地點燃起烈火"
10310,"以魔法強化你的箭矢或弩箭，冰凍整群的怪物","以魔法強化你的箭矢或弩箭，凍結整群的怪物"
10354,"創造一道閃電結界，降低附近所有敵人的生命","造出一道電能力場，降低附近所有敵人的生命"
10437,"被動-增加閃電傷害","被動 - 提高電擊傷害"
10438,"被動-增加閃電法術所造成的所有傷害","被動 - 提高你的閃電法術造成的所有傷害"
10530,"詛咒一隻怪物變成
其他週邊的怪物目標，
此詛咒無法被其他詛咒撤銷","詛咒一隻怪物，使其成為周圍其他怪物的攻擊目標。
此詛咒不會被其他詛咒覆蓋"
10658,"當啟用時，靈氣引發電擊脈衝
傷害週邊的怪物，
在你的攻擊中增加閃電傷害","啟用時，靈氣會引發電流脈衝，對附近的敵人造成電擊傷害
為你的攻擊附加電擊傷害"
10673,"靈氣-增加攻擊速度和傷害","靈氣 - 提高攻擊速度和傷害"
10674,"當啟用時，靈氣會增加你和你隊伍人士的
傷害、攻擊速度和準確率","啟用時，靈氣會提高你和隊伍成員的傷害、攻擊速度和準確率"
10677,"靈氣 - 軟弱敵人","靈氣 - 削弱敵人"
10682,"當啟用時，靈氣會試著利用
被殺死敵人的靈魂，讓你和隊伍
中的人員重獲法力和生命","啟用時，靈氣會試圖救贖死亡敵人的靈魂，恢復你的生命值和法力"
10932,"%s： %+d%% 傷害依等級","%s：每等級 %+d%% 傷害"
10933,"%s： %+d%% 元素傷害依等級","%s：每等級 %+d%% 元素傷害"
10934,"%s： %+d%% 火焰傷害依等級","%s：每等級 %+d%% 火焰傷害"
10935,"%s： %+d%% 冰寒傷害依等級","%s：每等級 %+d%% 冰寒傷害"
10936,"%s： %+d%% 閃電傷害依等級","%s：每等級 %+d%% 電擊傷害"
10937,"%s： %+d%% 毒素傷害依等級","%s：每等級 %+d%% 毒素傷害"
10938,"%s： %+d%% 魔法傷害依等級","%s：每等級 %+d%% 魔法傷害"
10939,"%s： %+d.%d 碼依等級","%s：每等級 %+d.%d 碼射程"
10940,"火焰機率依等級","每等級射擊速度"
10941,"%s： %+d%% 準確率依等級","%s：每等級 %+d%% 準確率"
10942,"攻擊速度依等級","每等級攻擊速度"
10943,"%s： %+d%% 防禦依等級","%s：每等級 %+d%% 防禦"
10944,"法力耗費依等級","每等級法力消耗"
10945,"投射依等級","每等級發射數量"
10946,"+1投射依等級","每等級數量 +1"
10947,"%s： +1投射依%d等級","%0：每 %2 級數量 %+1"
10948,"十字弓彈依等級","每等級發射數量"
10949,"+1箭矢依等級","每等級數量 +1"
10950,"%s： +1箭矢依%d等級","%0：每 %2 級電能彈數量 %+1"
10951,"射擊依等級","每等級攻擊次數"
10952,"+1射擊依等級","每等級攻擊次數 +1"
10953,"%s： +1射擊依%d等級","%0：每 %2 級攻擊次數 %+1"
10954,"%s： %+d%% 生命值依等級","%s：每等級 %+d%% 生命"
10955,"走路/跑步速度依等級","每等級提高跑步 / 行走速度"
